onshape.webp,CAD for the 3d printed prototype in mm
3d-printed.webp,3D Printed Prototype
dimensions-final.webp,The final dimensions of the skateboard in inches
mold-forming.webp,Forming the glued wood pieces together
low-grit-sand.webp,After a lower grit sanding
high-grit-sand.webp,After a higher grit sand
high-grit-sand-2.webp,Another image of the higher grit sanding
skateboard-before.webp,Before applying the grip tape
skateboard-final.webp,The final skateboard
skateboard-final-closeup.webp,Another angle
skateboard-underside.webp,The underside of the skateboard